name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
OK017796.1	LN2020C	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017797.1	LN2020E	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017798.1	LN2020F	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017799.1	LN2020G	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017800.1	LN2020H	Rhinolophus ferrumequinum	Liaoning	2020-09	10.1093/nsr/nwac213	41.18857072926328	124.2218530800912	Liaoning	province-level			SC1
OK017793.1	YN2020A	Rhinolophus affinis	Yunnan	2020-09	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017852.1	YN2020B	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017853.1	YN2020C	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017854.1	YN2020D	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017855.1	YN2020E	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017856.1	YN2020F	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017857.1	YN2020G	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017858.1	YN2020H	Rhinolophus sinicus	Yunnan	2020-06	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017807.1	AH2021A	Rhinolophus sinicus	Anhui	2021-07	10.1093/nsr/nwac213	30.99464120755001	117.65384642733508	Anhui	province-level			SC1
OK017808.1	FJ2021A	Rhinolophus sinicus	Fujian	2021-05	10.1093/nsr/nwac213	25.64631890866084	118.03823738207568	Fujian	province-level			SC1
OK017809.1	FJ2021D	Rhinolophus sinicus	Fujian	2021-05	10.1093/nsr/nwac213	25.64631890866084	118.03823738207568	Fujian	province-level			SC1
OK017810.1	FJ2021E	Rhinolophus sinicus	Fujian	2021-05	10.1093/nsr/nwac213	25.64631890866084	118.03823738207568	Fujian	province-level			SC1
OK017811.1	FJ2021M	Rhinolophus sinicus	Fujian	2021-05	10.1093/nsr/nwac213	25.64631890866084	118.03823738207568	Fujian	province-level			SC1
OK017829.1	GZ2021C	Rhinolophus sinicus	Guizhou	2021-03	10.1093/nsr/nwac213	27.560934352206324	107.59350733337706	Guizhou	province-level			SC1
OK017830.1	GZ2021H	Rhinolophus sinicus	Guizhou	2021-03	10.1093/nsr/nwac213	27.560934352206324	107.59350733337706	Guizhou	province-level			SC1
OK017831.1	GZ2021I	Rhinolophus sinicus	Guizhou	2021-03	10.1093/nsr/nwac213	27.560934352206324	107.59350733337706	Guizhou	province-level			SC1
OK017803.1	HN2021A	Rhinolophus pusillus	Hunan	2021-02	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level		SC2	SC1/SC2
OK017804.1	HN2021B	Rhinolophus pusillus	Hunan	2021-02	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level			SC1/SC2
OK017805.1	HN2021G	Rhinolophus pusillus	Hunan	2021-03	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level		SC2	SC1/SC2
OK017832.1	HN2021C	Rhinolophus sinicus	Hunan	2021-02	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level			SC1
OK017833.1	HN2021D	Rhinolophus sinicus	Hunan	2021-02	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level			SC1
OK017834.1	HN2021E	Rhinolophus sinicus	Hunan	2021-03	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level			SC1
OK017835.1	HN2021F	Rhinolophus sinicus	Hunan	2021-03	10.1093/nsr/nwac213	28.02499168710197	111.30904305284376	Hunan	province-level			SC1
OK017860.1	JX2021D	Rhinolophus siamensis	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017836.1	JX2021AC	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017837.1	JX2021C	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017838.1	JX2021G	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017839.1	JX2021J	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017840.1	JX2021K	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017841.1	JX2021L	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017842.1	JX2021M	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017843.1	JX2021N	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017844.1	JX2021O	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017845.1	JX2021P	Rhinolophus sinicus	Jiangxi	2021-07	10.1093/nsr/nwac213	27.40117697858004	115.33784643450134	Jiangxi	province-level			SC1
OK017806.1	YN2021	Rhinolophus pusillus	Yunnan	2021-04	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level		SC2	SC1/SC2
MT121216.1	MP789	Manis javanica	Guangdong	2019-03-29	10.1371/journal.ppat.1008421	23.86367166708743	115.13543046617524	Guangdong	province-level		SC2	SC2
GWHBAUP01000001	RaTG15	 Rhinolophus affinis	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUM01000001	Rs7896	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUN01000001	Rs7905	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUO01000001	Rs7907	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUQ01000001	Rs7921	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUR01000001	Rs7924	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUS01000001	Rs7931	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
GWHBAUT01000001	Rs7952	 Rhinolophus stheno	Yunnan	2015-05	10.1080/22221751.2021.1956373	23.292984115330405	101.38369522652954	Tongguan Town				
EPI_ISL_852604	RshSTT182	Rhinolophus shameli	Cambodia	2010-12-06	10.1101/2021.01.26.428212	13.72259968	106.25267209999998	Steung Treng Province			SC2	SC2
EPI_ISL_852605	RshSTT200	Rhinolophus shameli	Cambodia	2010-12-06	10.1101/2021.01.26.428212	13.72259968	106.25267209999998	Steung Treng Province				SC2
EPI_ISL_412977	RmYN02	Rhinolophus malayanus	Yunnan	2019-06-25	10.1016/j.cub.2020.05.023	21.47195672907145	101.556792038927	Mengla			SC2	SC1/SC2
KY938558.1	16BO133	Rhinolophus ferrumequinum	South Korea	2016-04-17	10.1007/s00248-017-1033-8	35.474422132221775	127.14481012626948	Jeollabuk-do				SC1
MT726043.1	PREDICT/PDF-2386/OTBA40RSV	Rhinolophus sp.	Uganda	2013-05-30	10.1093/ve/veab007	1.6819917020617297	32.038326495192216	Uganda	country-level			outgroup
MT726044.1	PREDICT/PDF-2370/OTBA35RSV	Rhinolophus sp.	Uganda	2013-05-30	10.1093/ve/veab007	1.6819917020617297	32.038326495192216	Uganda	country-level			outgroup
MT726045.1	PREDICT/PRD-0038/AABSMF	Rhinolophus sp.	Rwanda	2011-09-27	10.1093/ve/veab007	-1.8737527023949927	29.621260535733963	Rwanda	country-level			outgroup
